Average travel time (min),date,link
97.4963768116,2015-01-01,17:0
196.464871194,2015-01-01,0:4
295.19047619,2015-01-01,4:6
191.139285714,2015-01-01,6:3
120.291800643,2015-01-01,3:0
97.3687350835,2015-02-01,17:0
196.354368932,2015-02-01,0:4
298.14432989700003,2015-02-01,4:6
193.148,2015-02-01,6:3
120.431304348,2015-02-01,3:0
99.0583941606,2015-03-01,17:0
199.736585366,2015-03-01,0:4
298.211267606,2015-03-01,4:6
193.826086957,2015-03-01,6:3
121.882996633,2015-03-01,3:0
97.7293986637,2015-04-01,17:0
199.399103139,2015-04-01,0:4
297.732394366,2015-04-01,4:6
193.895910781,2015-04-01,6:3
120.936908517,2015-04-01,3:0
97.5304740406,2015-05-01,17:0
198.408991228,2015-05-01,0:4
296.504587156,2015-05-01,4:6
193.298181818,2015-05-01,6:3
120.757258065,2015-05-01,3:0
97.3826086957,2015-06-01,17:0
197.79437229400003,2015-06-01,0:4
298.277511962,2015-06-01,4:6
193.722846442,2015-06-01,6:3
120.363564669,2015-06-01,3:0
97.4661399549,2015-07-01,17:0
197.430785124,2015-07-01,0:4
296.554545455,2015-07-01,4:6
191.667785235,2015-07-01,6:3
120.528810409,2015-07-01,3:0
97.4829545455,2015-08-01,17:0
196.24012474,2015-08-01,0:4
294.695454545,2015-08-01,4:6
190.516233766,2015-08-01,6:3
120.561886051,2015-08-01,3:0
97.423580786,2015-09-01,17:0
197.902807775,2015-09-01,0:4
295.210526316,2015-09-01,4:6
190.531666667,2015-09-01,6:3
121.058544304,2015-09-01,3:0
97.4166666667,2015-10-01,17:0
199.197228145,2015-10-01,0:4
295.612149533,2015-10-01,4:6
190.644039735,2015-10-01,6:3
121.832554517,2015-10-01,3:0
97.3245614035,2015-11-01,17:0
199.076252723,2015-11-01,0:4
295.473684211,2015-11-01,4:6
190.931208054,2015-11-01,6:3
122.098892405,2015-11-01,3:0
97.3814655172,2015-12-01,17:0
198.17405765,2015-12-01,0:4
295.869565217,2015-12-01,4:6
190.54368932,2015-12-01,6:3
120.922705314,2015-12-01,3:0
97.7850241546,2016-01-01,17:0
200.281653747,2016-01-01,0:4
295.979274611,2016-01-01,4:6
190.235507246,2016-01-01,6:3
120.083187391,2016-01-01,3:0
98.0250569476,2016-02-01,17:0
204.060493827,2016-02-01,0:4
303.344221106,2016-02-01,4:6
190.957854406,2016-02-01,6:3
120.202003339,2016-02-01,3:0
97.3574660633,2016-03-01,17:0
203.777647059,2016-03-01,0:4
303.613207547,2016-03-01,4:6
191.281481481,2016-03-01,6:3
120.293322734,2016-03-01,3:0
97.3220338983,2016-04-01,17:0
204.163265306,2016-04-01,0:4
303.71291866,2016-04-01,4:6
191.637735849,2016-04-01,6:3
120.423140496,2016-04-01,3:0
97.4255319149,2016-05-01,17:0
203.984234234,2016-05-01,0:4
302.971563981,2016-05-01,4:6
192.552325581,2016-05-01,6:3
120.737936772,2016-05-01,3:0
97.8151595745,2016-06-01,17:0
198.522222222,2016-06-01,0:4
299.825714286,2016-06-01,4:6
191.440816327,2016-06-01,6:3
121.070093458,2016-06-01,3:0
97.9349315068,2016-07-01,17:0
196.997975709,2016-07-01,0:4
298.726256983,2016-07-01,4:6
190.606349206,2016-07-01,6:3
121.181558935,2016-07-01,3:0
97.6244131455,2016-08-01,17:0
197.009278351,2016-08-01,0:4
295.554054054,2016-08-01,4:6
191.140070922,2016-08-01,6:3
120.984110169,2016-08-01,3:0
97.9919354839,2016-09-01,17:0
197.78030303,2016-09-01,0:4
294.78947368400003,2016-09-01,4:6
190.549657534,2016-09-01,6:3
121.242424242,2016-09-01,3:0
98.963356974,2016-10-01,17:0
197.870786517,2016-10-01,0:4
294.718009479,2016-10-01,4:6
190.606115108,2016-10-01,6:3
121.488924051,2016-10-01,3:0
98.3681055156,2016-11-01,17:0
197.872505543,2016-11-01,0:4
295.044334975,2016-11-01,4:6
190.134146341,2016-11-01,6:3
121.725083056,2016-11-01,3:0
98.138952164,2016-12-01,17:0
200.993103448,2016-12-01,0:4
298.215053763,2016-12-01,4:6
190.286738351,2016-12-01,6:3
120.650868878,2016-12-01,3:0
98.1002331002,2017-01-01,17:0
202.905109489,2017-01-01,0:4
300.35632183900003,2017-01-01,4:6
192.72659176,2017-01-01,6:3
120.0,2017-01-01,3:0
98.2188295165,2017-02-01,17:0
202.800511509,2017-02-01,0:4
301.292682927,2017-02-01,4:6
196.726190476,2017-02-01,6:3
120.067307692,2017-02-01,3:0
99.3769968051,2017-03-01,17:0
202.738386308,2017-03-01,0:4
300.566666667,2017-03-01,4:6
196.84751773,2017-03-01,6:3
120.105426357,2017-03-01,3:0
99.8434343434,2017-04-01,17:0
203.310843373,2017-04-01,0:4
300.098837209,2017-04-01,4:6
195.264367816,2017-04-01,6:3
120.0,2017-04-01,3:0
99.0765661253,2017-05-01,17:0
202.841607565,2017-05-01,0:4
299.81656804700003,2017-05-01,4:6
191.053030303,2017-05-01,6:3
119.89456869,2017-05-01,3:0
98.1843971631,2017-06-01,17:0
202.909930716,2017-06-01,0:4
300.448275862,2017-06-01,4:6
196.125,2017-06-01,6:3
119.837712519,2017-06-01,3:0
98.6892523364,2017-07-01,17:0
198.151315789,2017-07-01,0:4
296.64673913,2017-07-01,4:6
